ID,Name,Address,Bio,Tags,Type,Residents,NearestStation,DistanceFromStation,NumberOfZones,TotalArea,ExternalLinks,PhotoURLs
1,Nowadays,"56-06 Cooper Ave, Brooklyn, NY 11385",temp,,Nightclub,,Halsey St,0.3,2.0,21000.0,"https://nowadays.nyc/,https://www.passionweiss.com/2024/02/11/mister-saturday-night-eamon-harkin-justin-carter-nowadays-interview/,https://ny.eater.com/2018/1/18/16906100/nowadays-indoors-ridgewood-music-venue-bar-restaurant",https://imgix.bustle.com/uploads/image/2024/4/3/d50a7160-8350-4d75-87c2-1728d33ec244-img_7230.JPG?w=1200&h=1000&fit=crop&crop=fac
2,Brickhouse NYC,"156 W 44th St 3rd floor, New York, NY 10036, USA",,,Studio,,,,,,,
3,Peridance Center,"126 E 13th St, New York, NY 10003, USA",,,Studio,,,,,,,
4,Gibney 280 Broadway,"53A Chambers St 2nd Floor, New York, NY 10007, USA",,,Studio,,,,,,,
5,Dead Letter No. 9,"63 Grand St, Brooklyn, NY 11249, USA",,,Nightclub,,,,,,,
6,Green Room,"195 Morgan Ave, Brooklyn, NY, 11237",,,Nightclub,,,,,,,
7,KBL Studios,"735 St Nicholas Ave, New York, NY 10031, USA",,,Studio,,,,,,,
8,The REP Music Cafe,"450 Nostrand Ave, Brooklyn, NY 11216, USA",,,Nightclub,,,,,,,
9,PMT House of Dance,"28 W 25th St 2nd floor, New York, NY 10010, USA",,,Studio,,,,,,,
10,Modega,"11-05 44th Ave, Long Island City, NY 11101, USA",,,Nightclub,,,,,,,
11,Central Library,"10 Grand Army Plz, Brooklyn, NY 11238, USA",,,Nightclub,,,,,,,
12,Jean's,"415 Lafayette St, New York, NY 10003, USA",,,Nightclub,,,,,,,
13,Myx Lokal,"1005 Rahway Ave, Avenel, NJ 07001, USA",,,Community Center,,,,,,,
14,Grassroots Community Space,"54 Coles St, Jersey City, NJ 07302, USA",,,Community Center,,,,,,,
15,LilliStar,"353 Bedford Ave, Brooklyn, NY 11211, USA",,,Nightclub,,,,,,,
16,Atolye Venue & Bar,"236b 6th St, Brooklyn, NY 11215, USA",,,Nightclub,,,,,,,
17,333 Stagg St,"333 Stagg St, Brooklyn, NY 11206, USA",,,Nightclub,,,,,,,
18,Unveiled New York,"94 N 13th St, Brooklyn, NY 11249, USA",,,Nightclub,,,,,,,
19,Wu Lou Lounge,"1073 Atlantic Ave, Brooklyn, NY 11238, USA",,,Nightclub,,,,,,,
20,Good Room,"98 Meserole Ave, Brooklyn, NY 11222, USA",,,Nightclub,,,,,,,
21,Time Out Market New York,"55 Water St, Brooklyn, NY 11201, USA",,,Nightclub,,,,,,,
22,Xanadu Roller Arts,"262 Starr St, Brooklyn, NY 11237, USA",,,Nightclub,,,,,,,
23,Elsewhere,"599 Johnson Ave #1, Brooklyn, NY 11237, USA",,,Nightclub,,,,,,,
24,H0l0,"1090 Wyckoff Ave, Ridgewood, NY 11385, USA",,,Nightclub,,,,,,,
25,Signal,"175 Morgan Ave, Brooklyn, NY 11237, USA",,,Nightclub,,,,,,,
26,Nublu,"151 Loisaida Ave, New York, NY 10009, USA",,,Nightclub,,,,,,,
27,Evolute,"137-08 Northern Blvd 2nd Floor, Flushing, NY 11354, USA",,,Studio,,,,,,,
28,310 Meserole St,"310 Meserole St, Brooklyn, NY 11206, USA",,,Nightclub,,,,,,,
29,Brooklyn Storehouse,"Brooklyn Navy Yard, Building 293, Assembly Rd, Brooklyn, NY 11205, USA",,,,,,,,,,
30,Outer Heaven,"191 Chrystie St, New York, NY 10002, USA",,,Nightclub,,,,,,,
31,Now and Then NYC,"290 Meserole St, Brooklyn, NY 11206, USA",,,Nightclub,,,,,,,
32,Public Records,"233 Butler St, Brooklyn, NY 11217, USA",,,Nightclub,,,,,,,
33,Petite,"161 W 23 St, New York, NY 10011, USA",,,Nightclub,,,,,,,
34,BASEMENT NY,"52-19 Flushing Ave, Maspeth, NY 11378, USA",,,Nightclub,,,,,,,
35,Musica NYC,"637 W 50th St, New York, NY 10019, USA",,,Nightclub,,,,,,,
36,Izzy Rose,"214 Greene Ave, Brooklyn, NY 11238, USA",,,Nightclub,,,,,,,
37,Café Calaca,"505 Franklin Ave, Brooklyn, NY 11238, USA",,,,,,,,,,
38,Union Square Loft,"873 Broadway #408, New York, NY 10003, USA",,,Nightclub,,,,,,,
39,Le Bain,"The Standard, High Line, 848 Washington St, New York, NY 10014, USA",,,Nightclub,,,,,,,
40,Paragon,"990 Broadway, Brooklyn, NY 11221, USA",,,Nightclub,,,,,,,
41,SILO,"90 Scott Ave, Brooklyn, NY 11237, USA",,,Nightclub,,,,,,,
42,Mehanata Bulgarian Bar,"113 Ludlow St, New York, NY 10002, USA",,,Nightclub,,,,,,,
43,3 Dollar Bill,"260 Meserole St, Brooklyn, NY 11206, USA",,,Nightclub,,,,,,,
44,690 Woodward Garage,"690 Woodward Ave, Ridgewood, NY 11385",,,Nightclub,,,,,,,
45,Silence Please,"132 Bowery Floor 2, New York, NY 10013, USA",,,Nightclub,,,,,,,
46,Refuge,"360 Ten Eyck St, Brooklyn, NY 11206, USA",,,Nightclub,,,,,,,
47,Casanara,"983 Fulton St, Brooklyn, NY 11238, USA",,,Nightclub,,,,,,,
48,Blind Barber,"East Village, 339 E 10th St, New York, NY 10009, USA",,,Nightclub,,,,,,,
49,Jupiter Disco,"1237 Flushing Ave, Brooklyn, NY 11237, USA",,,,,,,,,,
50,Only The Wild Ones,"19 Kenmare St, New York, NY 10012",,,,,,,,,,
51,Hana House,"345 Adams St, Brooklyn, NY 11201, USA",,,,,,,,,,
52,EDEN NYC,"20 West 36th St., New York, NY 10018",,,,,,,,,,
53,Ace Hotel Brooklyn,"252 Schermerhorn St, Brooklyn, NY 11217, USA",,,,,,,,,,
54,Cheers Union Square,"121 University Pl, New York, NY 10003, USA",,,,,,,,,,
55,Maxwell Alley,"12 Coles St, Jersey City, NJ 07302, USA",,,,,,,,,,
56,Bossa Nova Civic Club,"1271 Myrtle Avenue, Brooklyn, NY 11221, USA",,,,,,,,,,
57,Secret Location,,,,,,,,,,,
58,99 Scott,"99 Scott Ave, Brooklyn, NY 11237",,,,,,,,,,
59,The Lodge,"Bryant Park, New York, NY 10018",,,,,,,,,,
60,MAD RADIO NYC,"395 Wythe Ave, Brooklyn, NY 11249",,,,,,,,,,
61,SummerStage,"Central Park, New York, NY 10021",,,,,,,,,,
62,Brooklyn Army Terminal,"80 58th St, Brooklyn, NY 11220, USA",,,,,,,,,,
63,Bogart House,"230 Bogart St, Brooklyn, NY 11206",,,,,,,,,,
64,Honey's,"99 Scott Ave, Brooklyn, NY 11237, USA",,,,,,,,,,
65,EDEN,"20 W 36th St., New York, NY 10018, USA",,,,,,,,,,
66,Cafe Balearica,"44 Berry St, Brooklyn, NY 11249, USA",,,,,,,,,,
67,99 Scott Ave,"99 Scott Ave, Brooklyn, NY 11237",,,,,,,,,,
68,HereNow,"205 Central Ave, Brooklyn, NY 11221, USA",,,,,,,,,,
